,content
26,"John,Denver's short rockies position  beyond 2002 is created by their Trailblazertransport.  They are unhedged 15,000/d in 2003 and 25,000/d in 2004 and2005.They are scrubbing all their books and booking the Hubert deal on Wednesdayand Thursday.Phillip"
27,"George,Below is a list of questions that Keith and I had regarding the WestgateOwnership StructureWhat will be the ownership structure? Limited partnership? General partner?What are all the legal entities that will be involved and in whatcapacity(regarding ownership andliabilities)?Who owns the land? improvements?Who holds the various loans?Is the land collateral?InvestmentWhat happens to initial investment?Is it used to purchase land for cash?Secure future loans?Why is the land cost spread out on the cash flow statement?When is the 700,000 actually needed? Now or for the land closing? Investmentschedule?Investment ReturnIs Equity Repayment the return of the original investment?Is the plan to wait until the last unit is sold and closed before profitsare distributed?DebtWhich entity is the borrower for each loan and what recourse or collateralis associated with eachloan?ImprovementConstructionAre these the only two loans?  Looks like it from the cash flow statement.Terms of each loan?Uses of FundsHow will disbursements be made?  By whom?What type of bank account?  Controls on max disbursement? Internet viewingfor investors?Reports to track expenses vs plan?Bookkeeping procedures to record actual expenses?What is the relationship of Creekside Builders to the project?  Do you getpaid a markup on subcontractors as ageneral contractor and paid gain out of profits?Do you or Larry receive any money in the form of salary or personal expensesbefore the ultimate payout of profits?Design and ConstructionWhen will design be complete?What input will investors have in selecting design and materials for units?What level of investor involvement will be possible during constructionplanning and permitting?Does Creekside have specific procedures for dealing with subcontractors,vendors, and other professionals?Such as always getting 3 bids, payment schedules, or reference checking?Are there any specific companies or individuals that you already plan touse? Names?These questions are probably very basic to you, but as a first time investorin a project like this it is new to me.  Also, I want to learn asmuch as possible from the process.Phillip"
28,"Please respond to <cbpres@austin.rr.com>Enclosed is the preliminary proforma for the Westgate property is Austinthat we told you about.  As you can tell from the proforma this projectshould produce a truly exceptional return of over 40% per year over 3 years.This is especially attractive when the project is in a market as strong asAustin and we are introducing new product that in a very low price range forthis market.  This is the best project in terms of risk and reward that wehave uncovered to date in the Austin market.The project does have approved zoning and will only require a site plan.  Asit is in the ""Smart Growth Corridor"" area designated by the City of Austinfor preferred development, this will be fast tracked and should be completein less than 6 months.  Additionally, many of the current and more severewater treatment ordinances have been waived.  I have estimated the lotimprovement costs based on a 28 lot development we investigated in NorthAustin, which included a detention/retention and filtration pond and streetwidening.  Even though this property is not likely to require streetwidening and will have less of a detention/retention and filtration pondrequirement, I used this data to be cautious.The Lone Star gas line easement in the lower portion of the property is notexpected to impact sales significantly.  Other projects have been quitesuccessful with identical relationships to this pipeline, such as theadjoining single family residential and a project at St. Edwards University.As with most infill projects, the quality of the surrounding neighborhoodsis uneven.  We have included a fence around the entire property, but mayonly put it on Westgate and Cameron Loop.  Gated communities are farpreferred so this is a good idea for both screening and current buyerpreferences.The seller accepted our offer Thursday evening with a price of $680,000 andan extended escrow.  This will enable us to probably obtain an approved siteplan before closing on the contract, which will mean that we can close intoan A&D Loan rather than into a land loan and then an improvement loan.This analysis shows your investment at $700,000 for a 50% interest in theprofits of the project.  As we discussed in San Marcos, we can also discusshaving you invest only in the lots, sell the lots to the construction entitywith your profit in the lot.  I believe this would facilitate the use of a1031 Exchange of the proceeds from this deal into another project that is arental deal or at least into the land for a rental project that would thenbe the equity for that project.  You would need to discuss this with anexchange expert first.  Larry Lewter knows an expert in the field in SanAntonio if you do not know anyone.I will send you a package on the property that was prepared by the broker,by Airborne Express today for Saturday delivery.Once you have read the package and reviewed this proforma, we would want toschedule a tour of the site and the area.  Please get back to me as soon asyour schedule permits regarding the site visit and feel free to call at anytime.  You can reach me over the weekend and in the evening at either512-338-1119 or 512-338-1110.  My cell phone is 512-748-7495 and the fax is512-338-1103.   I look forward to hearing from you and to working with youon this project that is sure to be a major winner.I regret that it took so long to get back to you, but we had some unusualevents these past few weeks.  A small freakish wind storm with severe 60+mpgdowndrafts hit the South part of Austin where we are building 10 town homes.One of these units had just had the roof decked with the siding scheduled tostart the next day.  The severe downdraft hitting the decked roof was enoughto knock it down.  The City shut down the project for a week and it tookanother week to get every thing back on tract.  Then last week I had to takemy wife  to emergency.  She has a bulge in the material between the vertebrain her spine and it causes her extreme pain and has kept her bedridden thispast week..  There is nothing like having your wife incapacitated to realizethe enormous number of things she does everyday.   Fortunately, it looks asif she will be ok in the long run.George W. RichardsCreekside Builders, LLC- Westgate Proforma-Phillip Allen.xls"
29,"George,As you can see his units sold at a variety of prices per square foot.  The1308/1308 model seems to have the most data and looks most similiar to theunits you are selling.  At  2.7 MM, my bid is .70/sf higher than his unitsunder construction.  I am having a hard time justifying paying much more withcompetition on the way.  The price I am bidding is higher than any dealsactually done to date.Let me know what you think.  I will follow up with an email and phone callabout Cherry Creek.  I am sure Deborah Yates let you know that the bid wasrejected on the De Ville property.Phillip Allen"
30,"Jeff,What is up with Burnet?Phillip"
31,"Jeff,I need to see the site plan for Burnet.  Remember I must get writtenapproval from Brenda Key Stone before I can sell this property and she hasconcerns about the way the property will be subdivided.    I would also liketo review the closing statements as soon as possible.Phillip"
32,"Lucy,I want to have an accurate rent roll as soon as possible. I faxed you a copyof this file.  You can fill in on the computer or just write in the correctamounts and I will input."
33,"Brenda,I checked my records and I mailed check #1178 for the normal amount onAugust 28th.  I mailed it to 4303 Pate Rd. #29, College Station, TX 77845.  Iwill go ahead and mail you another check.  If the first one shows up you cantreat the 2nd as payment for October.I know your concerns about the site plan.  I will not proceed withoutgetting the details and getting your approval.I will find that amortization schedule and send it soon.Phillip"
34,"Lucy,You wrote fewer checks this month.  Spent more money on Materials and less onLabor.June  July  AugustTotal Materials  2929  4085  4801Services  53  581  464Labor   3187  3428  27701.  Check 1406  Walmart    Description and unit?2.  Check 1410  Crumps     Detail description and unit?3.  Check 1411  Lucy      What is this?4.  Check 1415  Papes      Detail description and units?5.  Checks 1416, 1417, and 1425  Why overtime?6.  Check 1428    Ralph's   What unit?7.  Check 1438    Walmart?    Description and unit?Try and pull together the support for these items and get back to me.Phillip"
35,"Michael EtringerPhillip,Attached is the list.  Have your people fill in the columns highlighted inyellow.  As best can we will try not to overlap on accounts.Thanks, Mike"
36,"Please respond to <cbpres@austin.rr.com>Enclosed is the preliminary proforma for the Westgate property is Austinthat we told you about.  As you can tell from the proforma this projectshould produce a truly exceptional return of over 40% per year over 3 years.This is especially attractive when the project is in a market as strong asAustin and we are introducing new product that in a very low price range forthis market.  This is the best project in terms of risk and reward that wehave uncovered to date in the Austin market.The project does have approved zoning and will only require a site plan.  Asit is in the ""Smart Growth Corridor"" area designated by the City of Austinfor preferred development, this will be fast tracked and should be completein less than 6 months.  Additionally, many of the current and more severewater treatment ordinances have been waived.  I have estimated the lotimprovement costs based on a 28 lot development we investigated in NorthAustin, which included a detention/retention and filtration pond and streetwidening.  Even though this property is not likely to require streetwidening and will have less of a detention/retention and filtration pondrequirement, I used this data to be cautious.The Lone Star gas line easement in the lower portion of the property is notexpected to impact sales significantly.  Other projects have been quitesuccessful with identical relationships to this pipeline, such as theadjoining single family residential and a project at St. Edwards University.As with most infill projects, the quality of the surrounding neighborhoodsis uneven.  We have included a fence around the entire property, but mayonly put it on Westgate and Cameron Loop.  Gated communities are farpreferred so this is a good idea for both screening and current buyerpreferences.The seller accepted our offer Thursday evening with a price of $680,000 andan extended escrow.  This will enable us to probably obtain an approved siteplan before closing on the contract, which will mean that we can close intoan A&D Loan rather than into a land loan and then an improvement loan.This analysis shows your investment at $700,000 for a 50% interest in theprofits of the project.  As we discussed in San Marcos, we can also discusshaving you invest only in the lots, sell the lots to the construction entitywith your profit in the lot.  I believe this would facilitate the use of a1031 Exchange of the proceeds from this deal into another project that is arental deal or at least into the land for a rental project that would thenbe the equity for that project.  You would need to discuss this with anexchange expert first.  Larry Lewter knows an expert in the field in SanAntonio if you do not know anyone.I will send you a package on the property that was prepared by the broker,by Airborne Express today for Saturday delivery.Once you have read the package and reviewed this proforma, we would want toschedule a tour of the site and the area.  Please get back to me as soon asyour schedule permits regarding the site visit and feel free to call at anytime.  You can reach me over the weekend and in the evening at either512-338-1119 or 512-338-1110.  My cell phone is 512-748-7495 and the fax is512-338-1103.   I look forward to hearing from you and to working with youon this project that is sure to be a major winner.I regret that it took so long to get back to you, but we had some unusualevents these past few weeks.  A small freakish wind storm with severe 60+mpgdowndrafts hit the South part of Austin where we are building 10 town homes.One of these units had just had the roof decked with the siding scheduled tostart the next day.  The severe downdraft hitting the decked roof was enoughto knock it down.  The City shut down the project for a week and it tookanother week to get every thing back on tract.  Then last week I had to takemy wife  to emergency.  She has a bulge in the material between the vertebrain her spine and it causes her extreme pain and has kept her bedridden thispast week..  There is nothing like having your wife incapacitated to realizethe enormous number of things she does everyday.   Fortunately, it looks asif she will be ok in the long run.George W. RichardsCreekside Builders, LLC- Westgate Proforma-Phillip Allen.xls"
37,"Jeff,I received the rent roll.  I am going to be in San Marcos this weekend but Iam booked with stage coach.  I will drive by Friday evening.I will let you know next week if I need to see the inside.  Can you find outwhen Chelsea Villa last changed hands and for what price?What about getting a look at the site plans for the Burnet deal.  Rememberwe have to get Brenda happy.Phillip"
38,"9/8  9/7  diffSocal  36,600  37,200  -600NWPL  -51,000  -51,250  250San Juan -32,500  -32,000  -500The reason the benchmark report shows net selling San Juan is that thetransport positions were rolled in on 9/8.  This added 800 shorts to San Juanand 200 longs to Socal.  Before this adjustment we bought 300 San Juan andsold 800 Socal."
39,why is aeco basis so low on the list?  Is NWPL mapped differently than AECO?What about the correlation to Nymex on AECO?
40,"Jeff,You would clearly receive a commission on a deal on the sagewood.I am surprised by your request for payment on any type of project in whichI might become involved with Creekside.  Are you in the business of brokeringproperties or contacts?  Is your position based on a legal or what youperceive to be an ethical issue?  Did you propose we look at developing aproject from scratch?I am not prepared to pay more than 2.7 for sagewood yet.Phillip"
41,"Please respond to <cbpres@austin.rr.com><invest@bga.com>I was aware that Regan Lehman, the lot developer for the entire 70 lotduplex project, was selling his units in the $180's,  He does have a muchlower basis in the lots than anyone else, but the prime differences are dueto a) he is selling them during construction and b) they are smaller units.We do not know the exact size of each of his units, but we believe one ofthe duplexes is a 1164/1302 sq ft. plan.  This would produce an average sqfootage of 1233, which would be $73.80 psf at $182,000.  (I thought hissales price was $187,000.)  At this price psf our 1,376 sf unit would sellfor $203,108.What is more important, in my view, is a) the rental rate and b) therent-ability.  You have all of our current rental and cost data for your ownevaluation.  As for rent-ability, I believe that we have shown that the3-bedroom, 3.5 bath is strongly preferred in this market.    In fact, if wewere able to purchase additional lots from Regan we would build 4 bedroomunits along with the 3-bedroom plan.Phillip, I will call you today to go over this more thoroughly.Sincerely,George W. RichardsCreekside Builders, LLC"
42,"Please respond to <cbpres@austin.rr.com>Enclosed is the preliminary proforma for the Westgate property is Austinthat we told you about.  As you can tell from the proforma this projectshould produce a truly exceptional return of over 40% per year over 3 years.This is especially attractive when the project is in a market as strong asAustin and we are introducing new product that in a very low price range forthis market.  This is the best project in terms of risk and reward that wehave uncovered to date in the Austin market.The project does have approved zoning and will only require a site plan.  Asit is in the ""Smart Growth Corridor"" area designated by the City of Austinfor preferred development, this will be fast tracked and should be completein less than 6 months.  Additionally, many of the current and more severewater treatment ordinances have been waived.  I have estimated the lotimprovement costs based on a 28 lot development we investigated in NorthAustin, which included a detention/retention and filtration pond and streetwidening.  Even though this property is not likely to require streetwidening and will have less of a detention/retention and filtration pondrequirement, I used this data to be cautious.The Lone Star gas line easement in the lower portion of the property is notexpected to impact sales significantly.  Other projects have been quitesuccessful with identical relationships to this pipeline, such as theadjoining single family residential and a project at St. Edwards University.As with most infill projects, the quality of the surrounding neighborhoodsis uneven.  We have included a fence around the entire property, but mayonly put it on Westgate and Cameron Loop.  Gated communities are farpreferred so this is a good idea for both screening and current buyerpreferences.The seller accepted our offer Thursday evening with a price of $680,000 andan extended escrow.  This will enable us to probably obtain an approved siteplan before closing on the contract, which will mean that we can close intoan A&D Loan rather than into a land loan and then an improvement loan.This analysis shows your investment at $700,000 for a 50% interest in theprofits of the project.  As we discussed in San Marcos, we can also discusshaving you invest only in the lots, sell the lots to the construction entitywith your profit in the lot.  I believe this would facilitate the use of a1031 Exchange of the proceeds from this deal into another project that is arental deal or at least into the land for a rental project that would thenbe the equity for that project.  You would need to discuss this with anexchange expert first.  Larry Lewter knows an expert in the field in SanAntonio if you do not know anyone.I will send you a package on the property that was prepared by the broker,by Airborne Express today for Saturday delivery.Once you have read the package and reviewed this proforma, we would want toschedule a tour of the site and the area.  Please get back to me as soon asyour schedule permits regarding the site visit and feel free to call at anytime.  You can reach me over the weekend and in the evening at either512-338-1119 or 512-338-1110.  My cell phone is 512-748-7495 and the fax is512-338-1103.   I look forward to hearing from you and to working with youon this project that is sure to be a major winner.I regret that it took so long to get back to you, but we had some unusualevents these past few weeks.  A small freakish wind storm with severe 60+mpgdowndrafts hit the South part of Austin where we are building 10 town homes.One of these units had just had the roof decked with the siding scheduled tostart the next day.  The severe downdraft hitting the decked roof was enoughto knock it down.  The City shut down the project for a week and it tookanother week to get every thing back on tract.  Then last week I had to takemy wife  to emergency.  She has a bulge in the material between the vertebrain her spine and it causes her extreme pain and has kept her bedridden thispast week..  There is nothing like having your wife incapacitated to realizethe enormous number of things she does everyday.   Fortunately, it looks asif she will be ok in the long run.George W. RichardsCreekside Builders, LLC- Westgate Proforma-Phillip Allen.xls"
43,"_________________________________________________________________________Share information about yourself, create your own public profile at- utility.xls- utility.xls"
44,"Executive Impact & Influence Program* IMMEDIATE ACTION REQUIRED - Do Not Delete *As part of the Executive Impact and Influence Program, each participantis asked to gather input on the participant's own management styles andpractices as experienced by their immediate manager, each direct report,and up to eight peers/colleagues.You have been requested to provide feedback for a participant attendingthe next program.  Your input (i.e., a Self assessment, Manager assessment,Direct Report assessment, or Peer/Colleague assessment) will be combinedwith the input of others and used by the program participant to develop anaction plan to improve his/her management styles and practices.It is important that you complete this assessmentNO LATER THAN CLOSE OF BUSINESS Thursday, September 14.Since the feedback is such an important part of the program, the participantwill be asked to cancel his/her attendance if not enough feedback isreceived.  Therefore, your feedback is critical.To complete your assessment, please click on the following link or simplyUnique ID - ParticipantEVH3JY - John ArnoldER93FX - John LavoratoEPEXWX - Hunter ShivelyIf you experience technical problems, please call Dennis Ward atFSD Data Services, 713-942-8436.  If you have any questions about thisprocess,you may contact Debbie Nowak at Enron, 713-853-3304, or Christi Smith atKeilty, Goldsmith & Company, 858-450-2554.Thank you for your participation."
45,"Larry,Just a note to touch base on the sagewood townhomes and other developmentopportunities.I stumbled across some other duplexes for sale on the same street. that werebuilt by Reagan Lehmann.  22 Units were sold foraround $2 million. ($182,000/duplex).  I spoke to Reagan and he indicatedthat he had more units under construction that would beavailable in the 180's.  Are the units he is selling significantly differentfrom yours?  He mentioned some of the units are the 1308 floorplan.  My bid of 2.7 million is almost $193,000/duplex.As far as being an investor in a new project, I am still very interested.Call or email with your thoughts.Phillip"
46,"Ina,"
47,"jay.reitmeyer@enron.com, frank.ermis@enron.comJeff RichterAM ---------------------------Crandall/PDX/ECT@ECT, Tim Belden/HOU/ECT@ECT, Jeff Richter/HOU/ECT@ECT, JohnM Forney/HOU/ECT@ECT, Matt Motley/PDX/ECT@ECT, Tom Alonso/PDX/ECT@ECT, MarkFischer/PDX/ECT@ECT---------------------------Enron Capital & Trade Resources Corp.Will/HOU/ECT@ECT, Doug Gilbert-Smith/Corp/Enron@ENRON, MikeSwerzbin/HOU/ECT@ECTDo not underestimate the effects of the Internet economy on load growth.  Ihave been preaching the tremendous growth described below for the last year.The utility infrastructure simply cannot handle these loads at thedistribution level and ultimatley distributed generation will be required forpower quality reasons.The City of Austin, TX has experienced 300+ MW of load growth this year dueto server farms and technology companies.  There is a 100 MW server farmtrying to hook up to HL&P as we speak and they cannot deliver for 12 monthsdue to distribution infrastructure issues.  Obviously, Seattle, Porltand,Boise, Denver, San Fran and San Jose in your markets are in for a rudeawakening in the next 2-3 years.Enron North America Corp.Broderick/HOU/ECT@ECT, Jeffrey Miller/NA/Enron@EnronPM ---------------------------George HopleyCOMMUNICATIONS@ENRONInternet Data Gain Is a Major Power Drain onLocal Utilities( September 05, 2000 )In 1997, a little-known Silicon Valley company called ExodusCommunications opened a 15,000-square-foot data center inTukwila.The mission was to handle the Internet traffic andcomputer servers for theregion's growing number of dot-coms.Fast-forward to summer 2000. Exodus is now wrapping upconstructionon a new 13-acre, 576,000-square-foot data center less thana mile from itsoriginal facility. Sitting at the confluence of severalfiber optic backbones, theExodus plant will consume enough power for a small town andeventuallyhouse Internet servers for firms such as Avenue A,Microsoft and Onvia.com.Exodus is not the only company building massive datacenters near Seattle.More than a dozen companies -- with names like AboveNet,Globix andHostPro -- are looking for facilities here that will housethe networkingequipment of the Internet economy.It is a big business that could have an effect oneverything from yourmonthly electric bill to the ease with which you accessyour favorite Web sites.Data centers, also known as co-location facilities andserver farms, aresprouting at such a furious pace in Tukwila and the KentValley that somehave expressed concern over whether Seattle City Light andPuget SoundEnergy can handle the power necessary to run these 24-hour,high-securityfacilities.""We are talking to about half a dozen customers thatare requesting 445megawatts of power in a little area near Southcenter Mall,""said KarlKarzmar, manager of revenue requirements for Puget SoundEnergy. ""That isthe equivalent of six oil refineries.""A relatively new phenomenon in the utility business,the rise of the Internetdata center has some utility veterans scratching theirheads.Puget Sound Energy last week asked the WashingtonUtilities andTransportation Commission to accept a tariff on the newdata centers. Thetariff is designed to protect the company's existingresidential and businesscustomers from footing the bill for the new base stationsnecessary to supportthe projects. Those base stations could cost as much as $20million each,Karzmar said.Not to be left behind, Seattle City Light plans tobring up the data centerissue on Thursday at the Seattle City Council meeting.For the utilities that provide power to homes,businesses and schools in theregion, this is a new and complex issue.On one hand, the data centers -- with their amazingappetite for power --represent potentially lucrative business customers. Thefacilities run 24 hours aday, seven days a week, and therefore could become aconstant revenuestream. On the other hand, they require so much energy thatthey couldpotentially flood the utilities with exorbitant capitalexpenditures.Who will pay for those expenditures and what it willmean for power ratesin the area is still open to debate.""These facilities are what we call extremely denseloads,"" said Bob Royer,director of communications and public affairs at SeattleCity Light.""The entire University of Washington, from stadiumlights at the footballgame to the Medical School, averages 31 megawatts per day.We have datacenter projects in front of us that are asking for 30, 40and 50 megawatts.""With more than 1.5 million square feet, the Intergatecomplex in Tukwila isone of the biggest data centers. Sabey Corp. re-purchasedthe 1.35 millionsquare-foot Intergate East facility last September fromBoeing Space &Defense. In less than 12 months, the developer has leased92 percent of thesix-building complex to seven different co-locationcompanies.""It is probably the largest data center park in thecountry,"" boasts LaurentPoole, chief operating officer at Sabey. Exodus, ICGCommunications,NetStream Communications, Pac West Telecomm and ZamaNetworks alllease space in the office park.After building Exodus' first Tukwila facility in 1997,Sabey has become anexpert in the arena and now has facilities either undermanagement ordevelopment in Los Angeles, Spokane and Denver. Pooleclaims his firm isone of the top four builders of Internet data centers inthe country.As more people access the Internet and conductbandwidth-heavy taskssuch as listening to online music, Poole said the need forco-location space inSeattle continues to escalate.But it is not just Seattle. The need for data centerspace is growing at arapid clip at many technology hubs throughout the country,causing similarconcerns among utilities in places such as Texas andCalifornia.Exodus, one of the largest providers of co-locationspace, plans to nearlydouble the amount of space it has by the end of the year.While companiessuch as Amazon.com run their own server farms, manyhigh-tech companieshave decided to outsource the operations to companies suchas Exodus thatmay be better prepared for dealing with Internet trafficmanagement.""We have 2 million square feet of space underconstruction and we plan todouble our size in the next nine months , yet there is moredemand right nowthan data center space,"" said Steve Porter, an accountexecutive at Exodus inSeattle.The booming market for co-location space has left somein the local utilityindustry perplexed.""It accelerates in a quantum way what you have to doto serve the growth,""said Seattle City Light's Royer. ""The utility industry isalmost stunned by this, ina way."""
48,"Ina,Can you pull Tori K.'s and Martin Cuilla's resumes and past performancereviews from H.R.John J Lavorato@ENRONThe commercial support people that you and Hunter want to make commercialmanagers."
49,resumes of whom?
50,"ProgramPlease respond to <christi.smith@lrinet.com>ProgramWe have not received your completed Team Selection information.  It isimperative that we receive your team's information (email, phone number,office) asap.  We cannot start your administration without this information,and your raters will have less time to provide feedback for you.Thank you for your assistance.Christi-----Original Message-----ProgramHi Phillip.  We appreciate your prompt attention and completing the TeamSelection information.Ideally, we needed to receive your team of raters on the Team Selection formwe sent you.  The information needed is then easily transferred into thedatabase directly from that Excel spreadsheet.  If you do not have theability to complete that form, inserting what you listed below, we stillrequire additional information.We need each person's email address.  Without the email address, we cannotemail them their internet link and ID to provide feedback for you, nor canwe send them an automatic reminder via email.  It would also be good to haveeach person's phone number, in the event we need to reach them.So, we do need to receive that complete TS Excel spreadsheet, or if you needto instead, provide the needed information via email.Thank you for your assistance Phillip.Christi L. SmithProject Manager for Client ServicesKeilty, Goldsmith & Company858/450-2554-----Original Message-----John Lavorato-MMike Grigsby-DKeith Holst-DFrank Ermis-DSteve South-DJanie Tholt-DScott Neal-PHunter Shively-PTom Martin-PJohn Arnold-P"
51,"jane.m.tholt@enron.com, mike.grigsby@enron.comTranswestern Pipeline Co. posted new notice(s) since our last check atPlease click the following to go to the web site for detail.=60"
52,"Mark,Here is a spreadsheet detailing our September Socal trades. (I did notdistinguish between buys vs. sells.)Phillip"
53,Enron North America Corp.--- Ray Niles on Price Caps.pdf
54,"Richard,Compare your california production to the numbers in the 2000 California GasReport.  It shows 410.  But again that might be just what the two utilitiesreceive."
55,"Cooper,Can you give access to the new west power site to Jay Reitmeyer.  He is ananalyst in our group.Phillip"
56,"ProgramPlease respond to <christi.smith@lrinet.com><debe@fsddatasvc.com>Hi Phillip.  We appreciate your prompt attention and completing the TeamSelection information.Ideally, we needed to receive your team of raters on the Team Selection formwe sent you.  The information needed is then easily transferred into thedatabase directly from that Excel spreadsheet.  If you do not have theability to complete that form, inserting what you listed below, we stillrequire additional information.We need each person's email address.  Without the email address, we cannotemail them their internet link and ID to provide feedback for you, nor canwe send them an automatic reminder via email.  It would also be good to haveeach person's phone number, in the event we need to reach them.So, we do need to receive that complete TS Excel spreadsheet, or if you needto instead, provide the needed information via email.Thank you for your assistance Phillip.Christi L. SmithProject Manager for Client ServicesKeilty, Goldsmith & Company858/450-2554-----Original Message-----John Lavorato-MMike Grigsby-DKeith Holst-DFrank Ermis-DSteve South-DJanie Tholt-DScott Neal-PHunter Shively-PTom Martin-PJohn Arnold-P"
57,John Lavorato-MMike Grigsby-DKeith Holst-DFrank Ermis-DSteve South-DJanie Tholt-DScott Neal-PHunter Shively-PTom Martin-PJohn Arnold-P
58,"Mark,Here is a spreadsheet detailing our September Socal trades. (I did notdistinguish between buys vs. sells.)Phillip"
59,How is your racing going?  What category are you up to?I
60,"Greg,Got your message.  Good luck on the bike ride.What were you doing to your apartment?  Are you setting up a studio?The kids are back in school.  Otherwise just work is going on here.Keith"
61,Why are his requests coming to me?
62,"__________________________________MARKET ALERTfrom The Wall Street JournalDecember 13, 2000The Nasdaq composite dropped 108.31, or 3.7%, to 2823.46 Wednesday asinvestors turned their attention to earnings warnings. The market couldn'tsustain initial enthusiasm that the election drama was nearing a close, butthe Dow industrials finished up 26.17 at 10794.44.__________________________________ADVERTISEMENTVisit CareerJournal.com, The Wall StreetJournal's executive career site. Read 2,000+articles on job hunting and career management,plus search 30,000+ high-level jobs. For today's__________________________________LOOKING FOR THE PERFECT HOLIDAY GIFT?Give a subscription to WSJ.com.____________________________________SUBSCRIPTION INFORMATIONThen uncheck the appropriate box to unsubscribe from this list.  Click onthe ""save selections"" button.When you registered with WSJ.com, you indicated you wished to receive thisMarket News Alert e-mail.For further questions, please call our customer service department at1-800-369-2834 or 1-609-514-0870 between the hours of 8 a.m. and 9 p.mEastern Monday-Friday or e-mail inquiries@interactive.wsj.com.__________________________________Copyright 2000 Dow Jones & Company, Inc. All Rights Reserved."
63,"Mark,Here is a spreadsheet detailing our September Socal trades. (I did notdistinguish between buys vs. sells.)Phillip"
64,"Mark,Were you able to log in to enron online and find socal today?I will follow up with a list of our physical deals done yesterday and today.Phillip"
65,BrendaCan you send me your address in College Station.Phillip
66,"frank.ermis@enron.com, jay.reitmeyer@enron.comKristian J LandeVickers/HOU/ECT@ECT, Elliot Mainzer/PDX/ECT@ECT, Michael McDonald/SF/ECT@ECT,David Parquet/SF/ECT@ECT, Laird Dyer/SF/ECT@ECT, Jim Buerkle/PDX/ECT@ECT, JimGilbert/PDX/ECT@ECT, Terry W Donovan/HOU/ECT@ECT, Jeff GSlaughter/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Ed Clark/PDX/ECT@ECTMotley/PDX/ECT@ECT, Phillip K Allen/HOU/ECT@ECTSorry,Report as of August 24, 2000"
67,"Mark,The following is a guest password that will allow you temporary view onlyaccess to EnronOnline.  Please note, the user ID and password are CASESENSITIVE.Log in to www.enrononline.com and install shockwave using instructionsbelow.  I have set up a composite page with western basis and cash prices tohelp you filter through the products.  The title of the composite page isMark's Page.  If you have any problems logging in you can call me at(713)853-7041 or Kathy Moore, EnronOnline HelpDesk, 713/853-HELP (4357).The Shockwave installer can be found within ""About EnronOnline"" on the homepage.  After opening ""About EnronOnline"", using right scroll bar, go to thebottom.  Click on ""download Shockwave"" and follow the directions.  Afterloading Shockwave, shut down and reopen browser (i.e. Microsoft InternetExplorer/Netscape).I hope you will find this site useful.Sincerely,Phillip Allen"
68,"Mark,Attached is a spreadsheet that lists the end of day midmarkets for socalbasis and socal/san juan spreads.  I listed the days during bidweek thatreflected financial trading for Socal Index and the actual gas daily printsbefore and after bidweek.July 1.  The basis market  anticipated a Socal/San Juan spread of .81 vsactual of .792.  Perceived index was 4.95 vs actual of 4.913.  Socal Gas Daily Swaps are trading at a significant premium.Aug. 1.  The basis market  anticipated a Socal/San Juan spread of 1.04 vsactual of .992.  Perceived index was 4.54 vs actual of 4.493.  Gas daily spreads were much wider before and after bidweek than themonthly postings4.  Socal Gas Daily Swaps are trading at a significant premium.Enron Online will allow you to monitor the value of financial swaps againstthe index, as well as, spreads to other locations.  Please call with anyquestions.Phillip"
69,"Suzanne,Can you give me more details or email  the plan prior to meeting?  What do Ineed to provide besides headcount?Otherwise any afternoon next week would be finePhillip"
70,"Colleen,Please add Mike Grigsby to the distribution.On another note, do you have any idea how Patti is holding up?Phillip"
71,"Brad,With regard to Tori Kuykendall, I would like to promote her to commercialmanager instead of converting her from a commercial support manager to anassociate.  Her duties since the beginning of the year have been those of acommercial manager.  I have no doubt that she will compare favorably toothers in that category at year end.Martin Cuilla on the central desk is in a similiar situation as Tori.Hunter would like Martin handled the same as Tori.Let me know if there are any issues.Phillip"
72,"Bruce,Can you stop by and set up my reuters.Phillip"
73,"Phillip -- Is the value axis on Sheet 2 of the ""socalprices"" spread sheetsupposed to be in $?  If so, are they the right values (millions?) and wheredid they come from?  I can't relate them to the Sheet 1 spread sheet.As I told Mike, we will file this out-of-time tomorrow as a supplement to ourcomments today along with a cover letter.  We have to fully understand thecharts and how they are constructed, and we ran out of time today.  It's muchbetter to file an out-of-time supplement to timely comments than to file thewhole thing late, particuarly since this is apparently on such a fast track.Thanks.Dasovich/NA/Enron@ENRON, Joe Hartsoe/Corp/Enron@ENRON, Mary Hain/HOU/ECT@ECT,pallen@enron.com, pkaufma@enron.com, Richard B Sanders/HOU/ECT@ECT, RichardShapiro/NA/Enron@ENRON, Stephanie Miller/Corp/Enron@ENRON, Steven JKean/NA/Enron@ENRON, Susan J Mara/NA/Enron@ENRON, Rebecca WCantrell/HOU/ECT@ECTAs prices rose, supply increased and demand decreased.  Now prices arebeginning to fall in response these market responses."
